"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,007,816,802,010",2010,Westbrook,965.7,67,6938
"9,015,138,102,005",2005,Chaplin,,,2278
"9,003,825,902,010",2010,West Hartford,2411.96,1526,63268
"9,011,621,502,010",2010,Preston,1248.41,59,4726
"9,007,470,802,009",2009,Middlefield,840.34,37,4403
"9,005,402,901,999",1999,Kent,1259.62,36,2858
"9,015,014,301,998",1998,Ashford,1122.5,46,4098
"9,001,639,702,010",2010,Ridgefield,365.29,90,24638
"9,001,486,202,008",2008,Monroe,1034.32,201,19433
"9,001,834,302,010",2010,Weston,677.87,69,10179
"9,009,141,602,005",2005,Cheshire,,,28902
"9,007,816,802,006",2006,Westbrook,419.16,28,6680
"9,007,473,602,009",2009,Middletown,3324.15,1569,47200
"9,001,834,302,006",2006,Weston,612.53,62,10122
"9,003,653,702,010",2010,Rocky Hill,1512,298,19709
"9,003,020,601,998",1998,Avon,1781.2,282,15832
"9,001,835,002,010",2010,Westport,1545.98,408,26391
"9,007,143,002,005",2005,Chester,,,3869
"9,015,627,102,010",2010,Putnam,2754.59,264,9584
"9,011,489,002,008",2008,Montville,1037.9,201,19366
"9,005,797,202,002",2002,Washington,1419.82,51,3592
"9,001,835,002,006",2006,Westport,1557.36,407,26134
"9,005,494,602,008",2008,Morris,801.35,19,2371
"9,009,475,352,009",2009,Milford,3680.24,1940,52714
"9,005,027,601,998",1998,Barkhamsted,1574.13,55,3494
"9,001,486,202,009",2009,Monroe,909.75,177,19456
"9,001,185,002,000",2000,Danbury,2782.97,2083,74848
"9,007,153,502,005",2005,Clinton,,,13177
"9,013,379,101,999",1999,Hebron,813.01,70,8610
"9,009,499,502,008",2008,Naugatuck,2045,648,31687
"9,013,859,502,010",2010,Willington,761.46,46,6041
"9,011,159,102,005",2005,Colchester,,,15310
"9,003,849,002,006",2006,Wethersfield,2470.86,655,26509
"9,009,032,501,999",1999,Beacon Falls,895.92,47,5246
"9,011,489,002,009",2009,Montville,868.05,169,19469
"9,013,859,502,006",2006,Willington,565.91,34,6008
"9,009,032,501,998",1998,Beacon Falls,1391.54,73,5246
"9,003,504,402,008",2008,New Britain,5199.53,3789,72872
"9,001,863,702,010",2010,Wilton,537.04,97,18062
"9,005,160,502,005",2005,Colebrook,,,1478
"9,003,849,002,010",2010,Wethersfield,1904.9,508,26668
"9,005,494,602,009",2009,Morris,840.69,20,2379
"9,003,043,001,998",1998,Berlin,2174.03,396,18215
"9,001,863,702,006",2006,Wilton,860.82,154,17890
"9,001,505,802,008",2008,New Canaan,808.38,159,19669
"9,007,191,301,999",1999,Deep River,1865.51,86,4610
"9,013,164,002,005",2005,Columbia,,,5228
"9,009,499,502,009",2009,Naugatuck,1888.28,600,31775
"9,005,372,801,999",1999,Harwinton,795,42,5283
"9,005,795,102,002",2002,Warren,694.98,9,1295
"9,009,045,801,998",1998,Bethany,1269.84,64,5040
"9,001,508,602,008",2008,New Fairfield,762.86,106,13895
"9,015,867,902,010",2010,Windham,2679.28,677,25268
"92,005",2005,Connecticut,,,3489831
